caldt,vwretd
20031120,-0.008429
20031121,0.001325
20031124,0.015991
20031125,0.002153
20031126,0.004292
20031128,0.000257
20031201,0.010864
20031202,-0.003141
20031203,-0.001255
20031204,0.004582
20031205,-0.007591
20031208,0.006946
20031209,-0.008243
20031210,-0.000868
20031211,0.011753
20031212,0.002678
20031215,-0.005515
20031216,0.006368
20031217,0.001538
20031218,0.012038
20031219,-0.000488
20031222,0.003851
20031223,0.002831
20031224,-0.001779
20031226,0.001659
20031229,0.012699
20031230,0.000058
20031231,0.001977
20040102,-0.002718
20040105,0.012364
20040106,0.001528
20040107,0.002585
20040108,0.004679
20040109,-0.008475
20040112,0.004793
20040113,-0.005393
20040114,0.008278
20040115,0.001495
20040116,0.006694
20040120,-0.000525
20040121,0.007649
20040122,-0.003036
20040123,-0.002351
20040126,0.012178
20040127,-0.009621
20040128,-0.013277
20040129,0.005016
20040130,-0.002478
20040202,0.003640
20040203,0.000614
20040204,-0.008127
20040205,0.002054
20040206,0.012433
20040209,-0.002286
20040210,0.004840
20040211,0.011368
20040212,-0.004601
20040213,-0.005269
20040217,0.009678
20040218,-0.004407
20040219,-0.003957
20040220,-0.002500
20040223,-0.002870
20040224,-0.001514
20040225,0.004260
20040226,0.001237
20040227,-0.000023
20040301,0.009762
20040302,-0.005752
20040303,0.001919
20040304,0.003157
20040305,0.001926
20040308,-0.008260
20040309,-0.005721
20040310,-0.014679
20040311,-0.014918
20040312,0.012322
20040315,-0.014230
20040316,0.005730
20040317,0.011729
20040318,-0.001203
20040319,-0.011200
20040322,-0.013048
20040323,-0.001156
20040324,-0.002434
20040325,0.016205
20040326,-0.000815
20040329,0.013132
20040330,0.004023
20040331,-0.000659
20040401,0.005424
20040402,0.008512
20040405,0.007584
20040406,-0.001835
20040407,-0.006451
20040408,-0.001078
20040412,0.005075
20040413,-0.013717
20040414,-0.001355
20040415,0.000772
20040416,0.005128
20040419,0.000979
20040420,-0.015488
20040421,0.005400
20040422,0.014153
20040423,0.000457
20040426,-0.004327
20040427,0.002277
20040428,-0.013860
20040429,-0.007203
20040430,-0.005701
20040503,0.009065
20040504,0.001954
20040505,0.001962
20040506,-0.006614
20040507,-0.013799
20040510,-0.010450
20040511,0.007734
20040512,0.002160
20040513,-0.000728
20040514,-0.000652
20040517,-0.010458
20040518,0.006922
20040519,-0.002406
20040520,0.000429
20040521,0.004089
20040524,0.001645
20040525,0.016007
20040526,0.001853
20040527,0.005851
20040528,-0.000495
20040601,0.000453
20040602,0.003755
20040603,-0.007405
20040604,0.005301
20040607,0.015999
20040608,0.001497
20040609,-0.009407
20040610,0.004535
20040614,-0.009595
20040615,0.006175
20040616,0.001322
20040617,-0.001251
20040618,0.002568
20040621,-0.004012
20040622,0.003691
20040623,0.008492
20040624,-0.002716
20040625,-0.004353
20040628,-0.002032
20040629,0.002597
20040630,0.004081
20040701,-0.010314
20040702,-0.003150
20040706,-0.008059
20040707,0.002064
20040708,-0.008176
20040709,0.003360
20040712,0.001347
20040713,0.000891
20040714,-0.003252
20040715,-0.004479
20040716,-0.004617
20040719,-0.000583
20040720,0.007021
20040721,-0.013014
20040722,0.002476
20040723,-0.009586
20040726,-0.001908
20040727,0.009859
20040728,0.000861
20040729,0.004932
20040730,0.001215
20040802,0.004189
20040803,-0.006303
20040804,-0.000739
20040805,-0.016296
20040806,-0.015405
20040809,0.001230
20040810,0.012917
20040811,-0.002377
20040812,-0.011584
20040813,0.001654
20040816,0.013586
20040817,0.002233
20040818,0.012678
20040819,-0.003601
20040820,0.006546
20040823,-0.002431
20040824,0.000513
20040825,0.008058
20040826,0.000099
20040827,0.002605
20040830,-0.007672
20040831,0.004626
20040901,0.001866
20040902,0.011267
20040903,-0.004149
20040907,0.006902
20040908,-0.004320
20040909,0.001967
20040910,0.004951
20040913,0.001872
20040914,0.002343
20040915,-0.007050
20040916,0.002814
20040917,0.004516
20040920,-0.005686
20040921,0.006354
20040922,-0.013820
20040923,-0.004464
20040924,0.001552
20040927,-0.006009
20040928,0.006142
20040929,0.004333
20040930,-0.000249
20041001,0.015042
20041004,0.003450
20041005,-0.000651
20041006,0.007019
20041007,-0.009879
20041008,-0.007454
20041011,0.001978
20041012,-0.002340
20041013,-0.007265
20041014,-0.009290
20041015,0.004392
20041018,0.005151
20041019,-0.009663
20041020,0.000547
20041021,0.002661
20041022,-0.009728
20041025,-0.000867
20041026,0.014720
20041027,0.013171
20041028,0.001992
20041029,0.002484
20041101,0.000382
20041102,0.000100
20041103,0.011265
20041104,0.016264
20041105,0.003980
20041108,-0.001069
20041109,-0.000257
20041110,-0.000856
20041111,0.009059
20041112,0.008980
20041115,0.000014
20041116,-0.006985
20041117,0.005632
20041118,0.001300
20041119,-0.011029
20041122,0.005811
20041123,-0.000215
20041124,0.004204
20041126,0.000820
20041129,-0.003267
20041130,-0.003930
20041201,0.015123
20041202,-0.000894
20041203,0.000744
20041206,-0.000699
20041207,-0.010808
20041208,0.004761
20041209,0.005408
20041210,-0.001076
20041213,0.009072
20041214,0.003944
20041215,0.002063
20041216,-0.002021
20041217,-0.007143
20041220,0.000029
20041221,0.009052
20041222,0.003746
20041223,0.000530
20041227,-0.004327
20041228,0.007054
20041229,0.000177
20041230,0.000114
20041231,-0.001332
20050103,-0.008183
20050104,-0.011433
20050105,-0.003554
20050106,0.003732
20050107,-0.001434
20050110,0.003391
20050111,-0.006016
20050112,0.004448
20050113,-0.008636
20050114,0.006056
20050118,0.009760
20050119,-0.009411
20050120,-0.007726
20050121,-0.006536
20050124,-0.003465
20050125,0.003904
20050126,0.004918
20050127,0.000607
20050128,-0.002654
20050131,0.008530
20050201,0.006962
20050202,0.003312
20050203,-0.002412
20050204,0.011111
20050207,-0.001094
20050208,0.000797
20050209,-0.008406
20050210,0.004295
20050211,0.007176
20050214,0.000858
20050215,0.003244
20050216,0.000143
20050217,-0.007787
20050218,0.000722
20050222,-0.014434
20050223,0.005704
20050224,0.008175
20050225,0.009481
20050228,-0.006486
20050301,0.005575
20050302,0.000169
20050303,0.000380
20050304,0.009669
20050307,0.002533
20050308,-0.004759
20050309,-0.009975
20050310,0.001724
20050311,-0.007113
20050314,0.005530
20050315,-0.007464
20050316,-0.007990
20050317,0.001737
20050318,-0.000502
20050321,-0.004879
20050322,-0.010080
20050323,0.000719
20050324,-0.000851
20050328,0.002432
20050329,-0.007431
20050330,0.013874
20050331,-0.000626
20050401,-0.006551
20050404,0.003059
20050405,0.004415
20050406,0.002461
20050407,0.005962
20050408,-0.008262
20050411,-0.000000
20050412,0.005602
20050413,-0.011597
20050414,-0.009979
20050415,-0.016666
20050418,0.002891
20050419,0.006010
20050420,-0.013100
20050421,0.019396
20050422,-0.006543
20050425,0.008570
20050426,-0.008713
20050427,0.004134
20050428,-0.011232
20050429,0.011924
20050502,0.004631
20050503,-0.000665
20050504,0.012439
20050505,-0.002367
20050506,-0.001131
20050509,0.006458
20050510,-0.010715
20050511,0.004677
20050512,-0.010012
20050513,-0.004432
20050516,0.010269
20050517,0.006984
20050518,0.010300
20050519,0.004722
20050520,-0.001613
20050523,0.003976
20050524,0.000168
20050525,-0.003358
20050526,0.006507
20050527,0.001139
20050531,-0.006018
20050601,0.009253
20050602,0.001899
20050603,-0.006863
20050606,0.001293
20050607,-0.000229
20050608,-0.002030
20050609,0.005391
20050610,-0.002336
20050613,0.002484
20050614,0.002762
20050615,0.002341
20050616,0.003619
20050617,0.004866
20050620,-0.000713
20050621,-0.002065
20050622,0.000284
20050623,-0.010609
20050624,-0.007590
20050627,-0.000732
20050628,0.009353
20050629,-0.001211
20050630,-0.007188
20050701,0.002837
20050705,0.009006
20050706,-0.008072
20050707,0.002497
20050708,0.011644
20050711,0.006320
20050712,0.002328
20050713,0.000997
20050714,0.002641
20050715,0.001158
20050718,-0.005506
20050719,0.006830
20050720,0.004730
20050721,-0.006551
20050722,0.005308
20050725,-0.003734
20050726,0.001625
20050727,0.004746
20050728,0.005865
20050729,-0.007682
20050801,0.000921
20050802,0.007203
20050803,0.000961
20050804,-0.007454
20050805,-0.007581
20050808,-0.002690
20050809,0.006739
20050810,-0.001457
20050811,0.007087
20050812,-0.005901
20050815,0.002988
20050816,-0.011863
20050817,0.000947
20050818,-0.000896
20050819,0.000645
20050822,0.001575
20050823,-0.003400
20050824,-0.006496
20050825,0.002298
20050826,-0.005893
20050829,0.006146
20050830,-0.003062
20050831,0.010118
20050901,0.001168
20050902,-0.002892
20050906,0.012683
20050907,0.002605
20050908,-0.003834
20050909,0.007993
20050912,-0.000658
20050913,-0.007329
20050914,-0.003321
20050915,0.000424
20050916,0.008104
20050919,-0.005403
20050920,-0.007778
20050921,-0.009393
20050922,0.003907
20050923,0.000566
20050926,0.000305
20050927,0.000079
20050928,0.001166
20050929,0.008925
20050930,0.001059
20051003,-0.001686
20051004,-0.009810
20051005,-0.014432
20051006,-0.004147
20051007,0.003787
20051010,-0.007140
20051011,-0.001928
20051012,-0.005934
20051013,-0.000623
20051014,0.008247
20051017,0.003047
20051018,-0.009960
20051019,0.015020
20051020,-0.015011
20051021,0.001616
20051024,0.016779
20051025,-0.002479
20051026,-0.004176
20051027,-0.010418
20051028,0.016580
20051031,0.007511
20051101,-0.003382
20051102,0.010144
20051103,0.004592
20051104,0.000277
20051107,0.002369
20051108,-0.002964
